ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,WP,VMPP,IMPP,VOC,ISC,SOLAR_CELLS,CELL_TYPE,SURFACE_TYPE,COEF_PMAX,COEF_VOC,COEF_ISC,ACTIVE
106,CHSM78N(DG)/F-BH-635,6,2465.0,1134.0,30.0,34.7,635,46.62,13.62,56.41,14.27,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.043,1
107,JAM66D42-570/MB,9,2278.0,1134.0,30.0,31.8,570,40.0,14.25,47.78,15.11,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.3,-0.26,0.046,1
108,JKM585N 72HL4-V,10,2278.0,1134.0,30.0,27.0,585,43.53,13.44,52.47,14.07,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.25,-0.29,0.045,1
109,TSM-710NEG21C.20,15,2384.0,1303.0,33.0,38.3,710,40.9,17.36,49.0,18.4,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,1
110,BYD550MLK-36,7,2278.0,1134.0,35.0,29.3,550,42.49,12.94,50.32,13.61,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.39,-0.3,0.06,1
111,CHSM72N(DG)/F-BH-570,6,2278.0,1134.0,30.0,32.1,570,42.77,13.33,50.9,14.1,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.043,1
112,HS-210-B132 DS700,8,2384.0,1303.0,33.0,37.9,700,41.78,16.76,49.77,17.81,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.22,0.04,1
113,WPV 555 HMM3,1,2278.0,1134.0,30.0,27.3,555,42.11,13.18,50.02,14.07,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
114,TSM-695NEG21C.20,15,2384.0,1303.0,33.0,38.3,695,40.3,17.25,48.3,18.28,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,0
115,TSM-700NEG21C.20,15,2384.0,1303.0,33.0,38.3,700,40.5,17.29,48.6,18.32,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,0
116,TSM-705NEG21C.20,15,2384.0,1303.0,33.0,38.3,705,40.7,17.33,48.8,18.36,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,0
117,TSM-715NEG21C.20,15,2384.0,1303.0,33.0,38.3,715,41.1,17.4,49.2,18.44,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,0
118,TSM-720NEG21C.20,15,2384.0,1303.0,33.0,38.3,720,41.3,17.44,49.4,18.49,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.29,0.04,0
119,TSM-670NEG21C.20,15,2384.0,1303.0,33.0,38.3,670,39.2,17.09,47.0,18.1,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.3,0.04,0
120,TSM-680NEG21C.20,15,2384.0,1303.0,33.0,38.3,680,39.6,17.16,47.4,18.18,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.3,0.04,0
121,TSM-675NEG21C.20,15,2384.0,1303.0,33.0,38.3,675,39.4,17.12,47.2,18.14,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.3,0.04,0
122,TSM-690NEG21C.20,15,2384.0,1303.0,33.0,38.3,690,40.1,17.23,47.9,18.25,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.3,0.04,0
123,TSM-685NEG21C.20,15,2384.0,1303.0,33.0,38.3,685,39.8,17.19,47.7,18.21,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.3,0.04,0
124,HS-210-B132 DS705,8,2384.0,1303.0,33.0,37.9,705,41.87,16.84,49.87,17.9,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.24,-0.22,0.04,0
125,TWMNH-66HD610,16,2382.0,1134.0,30.0,32.5,610,40.48,15.07,48.7,15.94,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.28,-0.24,0.046,1
126,TWMNH-66HD615,16,2382.0,1134.0,30.0,32.5,615,40.65,15.13,48.9,16.0,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.28,-0.24,0.046,1
127,TWMNH-66HD620,16,2382.0,1134.0,30.0,32.5,620,40.82,15.19,49.1,16.06,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.28,-0.24,0.046,1
128,TWMNH-66HD625,16,2382.0,1134.0,30.0,32.5,625,40.96,15.26,49.3,16.12,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.28,-0.24,0.046,1
129,TWMNH-66HD630,16,2382.0,1134.0,30.0,32.5,630,41.1,15.33,49.5,16.18,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.28,-0.24,0.046,1
130,JAM72D42-615/LB,9,2465.0,1134.0,30.0,34.6,615,43.31,14.2,51.87,15.06,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
131,JAM72D42-620/LB,9,2465.0,1134.0,30.0,34.6,620,43.51,14.25,52.07,15.11,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
132,JAM72D42-625/LB,9,2465.0,1134.0,30.0,34.6,625,43.71,14.3,52.27,15.16,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
133,JAM72D42-630/LB,9,2465.0,1134.0,30.0,34.6,630,43.9,14.35,52.47,15.21,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
134,JAM72D42-635/LB,9,2465.0,1134.0,30.0,34.6,635,44.1,14.4,52.67,15.26,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
135,JAM72D42-640/LB,9,2465.0,1134.0,30.0,34.6,640,44.29,14.45,52.87,15.31,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.045,0
136,JAM66D42-560/MB,9,2278.0,1134.0,30.0,31.8,560,39.58,14.15,47.38,15.01,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.3,-0.26,0.046,0
137,JAM66D42-565/MB,9,2278.0,1134.0,30.0,31.8,565,39.79,14.2,47.58,15.06,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.3,-0.26,0.046,0
